Distributor,Customer Name,City,Country,Latitude,Longitude,Channel,Sub-channel,Product Name,Product Class,Quantity,Price,Sales,Month,Year,Name of Sales Rep,Manager,Sales Team
Gottlieb-Cruickshank  ,"Hahn, Rutherford and Gislason Pharmaceutical Limited",Łaziska Górne,Poland,50.15,18.8333,Hospital,Private,Menogine,Antiseptics,4.0,742,2968.0,January,2018,Steve Pepple,Tracy Banks,Bravo
Smith Inc ,Schmitt LLC Pharm,Nysa,Poland,50.4738,17.3344,Pharmacy,Retail,Ergomethate,Mood Stabilizers,1.0,604,604.0,January,2018,Mary Gerrard,Britanny Bold,Delta
Prohaska-Kuhic ,"Spinka, Schowalter and Conn Pharmaceutical Limited",Biłgoraj,Poland,50.55,22.7333,Pharmacy,Institution,Agalsiline,Mood Stabilizers,60.0,64,3840.0,January,2018,Thompson Crawford,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Denesik, Walter and Beatty Pharma Plc",Ostrów Mazowiecka,Poland,52.8,21.9,Pharmacy,Institution,Atrabicin Alkerotec,Antiseptics,4.0,249,996.0,January,2018,Abigail Thompson,Tracy Banks,Bravo
Smith Inc ,Lesch PLC Pharmaceutical Ltd,Głuszyca,Poland,50.6874,16.3717,Pharmacy,Retail,Zonixamine Immulinum,Analgesics,432.0,298,128736.0,January,2018,Thompson Crawford,James Goodwill,Alfa
Smith Inc ,"Beer, Kohler and Beatty Pharmaceutical Ltd",Rypin,Poland,53.0667,19.45,Pharmacy,Retail,Sevoderm,Antipiretics,2.0,663,1326.0,January,2018,Daniel Gates,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Vandervort LLC Pharma Plc,Łańcut,Poland,50.0687,22.2291,Pharmacy,Institution,Insozyme,Antiseptics,3.0,655,1965.0,January,2018,Mary Gerrard,Britanny Bold,Delta
Prohaska-Kuhic ,Balistreri-Watsica Pharmacy,Ełk,Poland,53.8167,22.35,Pharmacy,Retail,Bexridol,Antipiretics,4.0,80,320.0,January,2018,Morris Garcia,Tracy Banks,Bravo
Prohaska-Kuhic ,"Brakus, Rempel and Harber Pharma Plc",Nowy Targ,Poland,49.4833,20.0333,Pharmacy,Institution,Zynosine,Antimalarial,12.0,74,888.0,January,2018,Anne Wu,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Marquardt-Ryan Pharmaceutical Ltd,Węgorzewo,Poland,54.2167,21.75,Hospital,Private,Belavarix Benzabicin,Antibiotics,6.0,131,786.0,January,2018,Alan Ray,James Goodwill,Alfa
